episode_idx,seed,total_reward,steps,landed,crashed,truncated,out_of_bounds,impact_speed,lateral_dist,final_h_agl,mean_abs_alt_error,mean_speed,mean_ang_speed,mean_lateral,max_abs_roll_deg,max_abs_pitch_deg,max_abs_omega_xy
21,21,-1737.5398305348845,139,False,False,False,False,0.0,0.0,5.0,0.9812091987767666,5.52307390834359,18.603296631540843,20.027168173224272,49.9421998241232,69.84408601897208,11.860158062852259
22,22,-1840.7745390382559,139,False,False,False,False,0.0,0.0,5.0,0.9610578349168352,5.505366750115114,19.096242070945276,22.331605632307074,45.61400876571752,65.21244507721083,11.523941088828526
23,23,-1517.8657783645733,139,False,False,False,False,0.0,0.0,5.0,0.9802222678558432,5.492853410274005,18.27614615280528,15.025023276942434,52.173688139399594,71.82655955126744,11.98266936101966
24,24,-1627.3747376239817,139,False,False,False,False,0.0,0.0,5.0,0.964553737811905,5.512736226586129,19.051688722340433,17.210658164956612,46.03058003997161,65.71587362067208,11.56400505255618
25,25,-1416.809488347252,139,False,False,False,False,0.0,0.0,5.0,0.9717353488043915,5.533020798143723,18.99262892671394,12.125821722857568,46.6474190949058,66.66193553936253,11.636258398838155
26,26,-1753.356570515092,139,False,False,False,False,0.0,0.0,5.0,0.9710998792442487,5.465278319585666,17.27856997369846,21.436199514453318,58.72297121910658,78.28275860969131,12.184438271023001
27,27,-1643.6007922168135,140,False,False,False,False,0.0,0.0,5.0,0.9831049963831902,5.424187011697462,17.77590483196529,18.164963977977326,56.30511260849132,74.34345321673462,12.077388224175836
28,28,-1306.404505266978,140,False,False,False,False,0.0,0.0,5.0,0.9822259285620281,5.424714074070964,17.69175921192062,10.198129320016829,56.536496895976896,74.93442540619145,12.117064149313642
29,29,-1441.3161021076035,141,False,False,False,False,0.0,0.0,5.0,0.9914537509705158,5.446830949937621,17.05761708680976,13.499332363197082,61.64812450854603,79.64292423375745,12.173043498566274
30,30,-1798.5971625437799,142,False,False,False,False,0.0,0.0,5.0,1.000538816754247,5.381442901848907,17.439259506744992,21.417543612269633,59.5906885876506,75.81210348019044,12.859300636257563
31,31,-1459.6480623210682,143,False,False,False,False,0.0,0.0,5.0,0.9988119648053095,5.3294857845648185,17.15014402347445,13.495942002069368,61.69341068670144,76.79795830465378,13.215201180804248
32,32,-1595.482305239061,143,False,False,False,False,0.0,0.0,5.0,0.9984779589242868,5.373410184743938,16.73065539008269,16.88619588308294,64.41386082483417,80.66288864285787,12.492284517095397
